E,N,Middle
193.8445447506797,20,3
194.52890093500483,20,4
61.20083645501752,12,2
60.02215787835259,12,1
61.21375327479516,12,2
59.90388572322252,12,1
61.15124174371631,12,2
59.94286674014312,12,1
60.32062556110115,12,1
60.86951917291963,12,2
60.53677111223272,12,1
60.519276350451335,12,1
59.91988980032917,12,1
59.873253089524,12,1
59.82605073430662,12,1
73.36276111975317,13,2
73.1025755330717,13,2
72.87467408929102,13,2
72.25702201073247,13,1
59.95401277416085,12,1
61.12176059948398,12,2
60.98938714024624,12,2
59.965232611832015,12,1
60.16566874293231,12,1
60.384407793669645,12,1
59.91599202569835,12,1
61.1463758835535,12,2
72.2389947153145,13,1
73.1330925985354,13,2
73.18715353148797,13,2
72.96349861020737,13,2
72.20128685080451,13,1
74.57919528112699,13,3
73.0557611265657,13,2
72.86790888209033,13,2
86.35218178116303,14,2
86.711763840482,14,2
87.58802001292291,14,3
86.14290709580862,14,2
86.28610957848377,14,2
87.9842190505104,14,3
87.45679008409329,14,3
86.13556251222317,14,2
100.9211840293114,15,2
102.08331126652669,15,3
101.82895790205374,15,3
100.84750202505376,15,2
101.8779818564377,15,3
102.28829211694925,15,3
102.32377787583188,15,3
101.81989883644181,15,3
117.5463237385305,16,3
119.23105936483113,16,4
117.70278970324094,16,3
117.53172887378511,16,3
119.46042769867458,16,4
117.02211535151253,16,2
117.73229278546957,16,3
116.93157569546594,16,2
135.88735852990646,17,4
134.94427311608774,17,3
135.87175279811512,17,4
134.59192224646804,17,3
134.65970646410466,17,3
134.84949686341022,17,3
134.68274589483065,17,3
135.14486164863587,17,3
154.3751913028875,18,4
153.18641303499686,18,3
154.21235505424463,18,4
153.58627524095277,18,3
154.14266953983537,18,4
153.55772135150363,18,3
153.0387277229229,18,2
154.15259914854562,18,3
172.726105928164,19,3
173.54810934321395,19,4
173.60272876304768,19,4
173.6431212339339,19,4
173.57072951868074,19,4
173.507130702396,19,4
174.34898870027112,19,4
173.73725880010846,19,4
196.4160973844577,20,5
196.0433707844574,20,5
195.90212305038338,20,5
196.1636542172167,20,5
196.16945490820797,20,5
196.11683001591746,20,5
194.63376060393585,20,4
194.48207603813847,20,4
218.02854091488626,21,5
219.88487754642682,21,6
217.80601358134973,21,5
218.34535737533878,21,5
216.70795062223763,21,4
218.27837350387026,21,5
217.8638018134843,21,5
218.0474392987791,21,5
241.35079238569088,22,5
243.15222794447737,22,6
241.35601909297557,22,5
241.2891212332201,22,5
241.3787900917159,22,5
244.008209561598,22,6
240.6763929113974,22,3
243.03715177764522,22,6
267.60413319854916,23,6
266.22105550683665,23,5
266.22824721547414,23,5
268.20221218596726,23,6
266.1138971976275,23,5
267.76174273868975,23,6
265.57168137014486,23,4
267.68675378573954,23,6
295.26283035694195,24,7
292.4165209358712,24,5
292.94494456785264,24,4
293.98022187567557,24,6
293.47230589771215,24,6
295.2319014113751,24,7
293.52449342107644,24,6
295.3047875932016,24,7
320.97172706375034,25,6
322.4322667441953,25,7
320.3715330080785,25,5
322.43982936678344,25,7
322.41181692470036,25,7
321.63142022420675,25,6
320.94905840625387,25,6
320.37239332902004,25,5
350.0725303544442,26,6
351.0221375164022,26,7
350.97107250122764,26,7
351.20734816206965,26,7
350.97238508375904,26,7
350.85773460644754,26,7
349.80523823677254,26,6
350.88109668400165,26,7
382.4673756926827,27,8
381.3348924322365,27,7
380.8817713976537,27,7
380.0663817927148,27,6
381.27121258568377,27,7
380.9780505445827,27,7
380.3359000768704,27,6
380.85231665372487,27,7
416.2782674756921,28,9
413.93072663681926,28,8
416.2385776882851,28,9
413.5952297713612,28,8
413.7401030148422,28,8
413.75401528648075,28,8
413.74157453158705,28,8
413.8308751460179,28,8
450.81163557035546,29,10
448.12053036731913,29,9
445.18339489141835,29,7
446.32765252067827,29,8
448.4244311112864,29,9
446.3456930438753,29,8
450.8360451635381,29,10
446.57210746224393,29,8
484.39258727714963,30,10
481.9643017502467,30,9
482.1392726645093,30,9
482.0639047014781,30,9
481.824055887208,30,9
481.94926417793266,30,9
482.56825457254695,30,9
482.220605105008,30,9
517.1362584284846,31,9
519.4465016584653,31,10
517.2715856092486,31,8
517.1395739930737,31,9
519.3883409669977,31,10
519.2031635977617,31,10
515.8944929050849,31,8
517.2116002333325,31,9
553.0938509484533,32,8
554.0889406708449,32,9
554.0146279121082,32,9
556.3403654160792,32,10
555.8377864426308,32,10
558.0599860275287,32,11
558.2698459050797,32,11
554.0540061196134,32,9
596.1010696180575,33,11
595.8849485471253,33,11
596.029772871106,33,11
593.768129853399,33,10
593.6421238816898,33,10
593.8942417938614,33,10
596.483906317297,33,11
595.8599053455522,33,11
633.0790601172587,34,10
633.1909139748883,34,10
635.1696732894383,34,11
637.4803210738335,34,12
632.391758528736,34,9
634.7049925794464,34,11
632.1594031876185,34,9
633.3845692047516,34,10
675.9243548167618,35,11
677.4811436041048,35,12
675.9420619472212,35,11
673.132413198269,35,9
677.7416981334953,35,12
675.9367984638571,35,11
677.541765708383,35,12
673.9104402613856,35,10
719.7985784916112,36,12
719.5890287559096,36,12
719.5623129638881,36,12
719.4676779560468,36,12
719.1506189990582,36,12
717.6475103155201,36,11
722.3199974111878,36,13
721.5247520452367,36,13
762.5379658982143,37,12
761.2723840492082,37,11
762.52051698961,37,12
765.058768782277,37,13
762.6728870682462,37,12
763.3015040922274,37,12
764.983699934368,37,13
762.5062964971091,37,12
809.9152800307841,38,13
809.0376708206351,38,13
811.9562755568924,38,14
809.7094442539919,38,13
807.283205042166,38,12
809.8256988211524,38,13
807.7048630694308,38,12
809.2477347244493,38,13
855.7637077078155,39,13
857.6395333742121,39,14
855.2302421663965,39,13
855.5105652928573,39,13
855.6635205751901,39,13
855.6755600638849,39,13
857.5901662216563,39,14
857.3302502959368,39,14
902.9192904671185,40,12
905.0643651373582,40,14
904.9438406277477,40,14
904.7496486018773,40,14
907.7115893807962,40,15
903.1268449592784,40,13
905.032716166257,40,14
903.3655388339956,40,13
